City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Anage,BR,82.83,clear sky,-14.6122,-41.1356,Lagoa Torta Anage Bahia
457,Brazzaville,CG,79.23,broken clouds,-4.2658,15.2832,Hotel Muesse
458,Alugan,PH,79.74,moderate rain,12.2188,125.4808,JM Lodge
460,Manaus,BR,84.7,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
464,El Cobre,CU,78.24,scattered clouds,20.0489,-75.9469,Hotel El Cobre
465,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
469,Solenzo,BF,81.03,scattered clouds,12.1833,-4.0833,
470,Bloomsburg,US,75.54,overcast clouds,41.0037,-76.4549,Hampton Inn Bloomsburg
472,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
476,Anaconda,US,76.96,scattered clouds,46.1285,-112.9423,Trade Wind Motel
477,Sao Joao Da Barra,BR,75.07,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
481,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
483,Misratah,LY,77.36,clear sky,32.3754,15.0925,فندق الماسة
491,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
498,Almeirim,BR,79.3,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
502,Latung,PH,83.62,overcast clouds,5.5,120.8833,
504,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
505,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
509,Pemangkat,ID,78.73,overcast clouds,1.1667,108.9667,Ramah Kost KITA
510,Trairi,BR,79.45,clear sky,-3.2778,-39.2689,janelas do mar
511,Alabaster,US,75.88,overcast clouds,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
514,Hopelchen,MX,85.28,scattered clouds,19.7667,-89.85,Hotel Jaguar
521,Humaita,BR,87.71,moderate rain,-7.5061,-63.0208,Corrêa Hotel
522,Maamba,ZM,77.27,overcast clouds,-17.3667,27.15,
524,Siocon,PH,77.47,light rain,7.7061,122.1353,ABS Hotel
525,Aracati,BR,79.9,clear sky,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
529,Berbera,SO,86.97,moderate rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
531,Kinston,US,80.71,broken clouds,35.2627,-77.5816,Hampton Inn Kinston
535,Honiara,SB,83.19,few clouds,-9.4333,159.95,Heritage Park Hotel
540,Envira,BR,81.55,very heavy rain,-7.3,-70.2167,
541,Kudahuvadhoo,MV,82.94,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
544,Labuhan,ID,77.94,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
